"Probes","Chr","Pos","deltaBeta","absDeltaBeta","DNAm_Effect","Author","Syndrome"
"cg18974224","chr14",105603153,0.0754357999999999,0.0754357999999999,"Gain","Sadikovic","Kabuki"
"cg21212881","chr9",14344359,0.0760596,0.0760596,"Gain","Sadikovic","Kabuki"
"cg23141851","chr3",14615941,0.0982708,0.0982708,"Gain","Sadikovic","Kabuki"
"cg15153957","chr19",40736427,-0.0957174,0.0957174,"Loss","Sadikovic","Kabuki"
"cg06341731","chr14",99641017,0.0947481,0.0947481,"Gain","Sadikovic","Kabuki"
"cg02892925","chr8",60032926,-0.1250711,0.1250711,"Loss","Sadikovic","Kabuki"
"cg23928920","chr15",92944756,0.098142,0.098142,"Gain","Sadikovic","Kabuki"
"cg12689529","chr11",126335883,0.08025121,0.08025121,"Gain","Sadikovic","Kabuki"
"cg03472000","chr10",118084320,0.0829491,0.0829491,"Gain","Sadikovic","Kabuki"
"cg14660676","chr8",126012434,-0.1346329,0.1346329,"Loss","Sadikovic","Kabuki"
"cg16526732","chr12",95598159,0.0439111000000001,0.0439111000000001,"Gain","Sadikovic","Kabuki"
"cg06521653","chr16",85845811,0.0824568,0.0824568,"Gain","Sadikovic","Kabuki"
"cg12086028","chr6",33241026,-0.1058758,0.1058758,"Loss","Sadikovic","Kabuki"
"cg16983110","chr6",128813319,-0.0870787,0.0870787,"Loss","Sadikovic","Kabuki"
"cg11683663","chr19",855536,-0.1311211,0.1311211,"Loss","Sadikovic","Kabuki"
"cg18587137","chr14",103593503,-0.1514196,0.1514196,"Loss","Sadikovic","Kabuki"
"cg14270725","chr1",1289806,-0.0836123,0.0836123,"Loss","Sadikovic","Kabuki"
"cg13810727","chr7",155438591,-0.0628386,0.0628386,"Loss","Sadikovic","Kabuki"
"cg22828581","chr9",93880502,0.08546352,0.08546352,"Gain","Sadikovic","Kabuki"
"cg21282663","chr1",221053904,-0.0960328,0.0960328,"Loss","Sadikovic","Kabuki"
"cg15392111","chr4",140216263,-0.06676154,0.06676154,"Loss","Sadikovic","Kabuki"
"cg05715492","chr7",98991138,-0.0965368,0.0965368,"Loss","Sadikovic","Kabuki"
"cg02142461","chr4",4293079,-0.1035854,0.1035854,"Loss","Sadikovic","Kabuki"
"cg23274660","chr20",44655227,-0.0671985,0.0671985,"Loss","Sadikovic","Kabuki"
"cg06789445","chr3",69942668,0.0587243000000001,0.0587243000000001,"Gain","Sadikovic","Kabuki"
"cg23998478","chr2",121269292,0.0581505,0.0581505,"Gain","Sadikovic","Kabuki"
"cg13389502","chr17",1961440,-0.0964491,0.0964491,"Loss","Sadikovic","Kabuki"
"cg16031250","chr5",135365012,-0.0768374,0.0768374,"Loss","Sadikovic","Kabuki"
"cg01101380","chr1",36039173,-0.08007147,0.08007147,"Loss","Sadikovic","Kabuki"
"cg07642595","chr13",113952548,-0.08198704,0.08198704,"Loss","Sadikovic","Kabuki"
"cg26328687","chr11",96076794,-0.0838409,0.0838409,"Loss","Sadikovic","Kabuki"
"cg11742202","chr6",74364667,-0.08724206,0.08724206,"Loss","Sadikovic","Kabuki"
"cg19423978","chr19",3688477,0.081332,0.081332,"Gain","Sadikovic","Kabuki"
"cg02661079","chr20",44829722,0.12251804,0.12251804,"Gain","Sadikovic","Kabuki"
"cg14271729","chr14",57858383,-0.0703959,0.0703959,"Loss","Sadikovic","Kabuki"
"cg12910806","chr1",246728677,-0.1070729,0.1070729,"Loss","Sadikovic","Kabuki"
"cg06191495","chr2",234264163,-0.0602609,0.0602609,"Loss","Sadikovic","Kabuki"
"cg11190278","chr14",51252662,0.0594066,0.0594066,"Gain","Sadikovic","Kabuki"
"cg11414202","chr17",26501467,0.0456759,0.0456759,"Gain","Sadikovic","Kabuki"
"cg03798743","chr11",98940816,-0.0768802,0.0768802,"Loss","Sadikovic","Kabuki"
"cg08122386","chr6",26195954,-0.11314369,0.11314369,"Loss","Sadikovic","Kabuki"
"cg05620261","chr19",34991070,0.089972,0.089972,"Gain","Sadikovic","Kabuki"
"cg14898243","chr10",70863693,-0.0926026,0.0926026,"Loss","Sadikovic","Kabuki"
"cg08250921","chr16",88111009,-0.0999445,0.0999445,"Loss","Sadikovic","Kabuki"
"cg10382814","chr1",160312182,-0.0717946,0.0717946,"Loss","Sadikovic","Kabuki"
"cg12280317","chr1",152008083,0.0850104,0.0850104,"Gain","Sadikovic","Kabuki"
"cg17242664","chr4",5710761,0.064927,0.064927,"Gain","Sadikovic","Kabuki"
"cg05612654","chr6",2375895,-0.0852132,0.0852132,"Loss","Sadikovic","Kabuki"
"cg10658779","chr10",77871675,0.0609566,0.0609566,"Gain","Sadikovic","Kabuki"
"cg21162977","chr9",19050395,-0.0551123,0.0551123,"Loss","Sadikovic","Kabuki"
"cg22188918","chr7",100882175,0.0666038,0.0666038,"Gain","Sadikovic","Kabuki"
"cg03437912","chr13",29232327,-0.0720326,0.0720326,"Loss","Sadikovic","Kabuki"
"cg22904096","chr2",211180386,-0.0797934,0.0797934,"Loss","Sadikovic","Kabuki"
"cg23565821","chr6",33385056,-0.0656656,0.0656656,"Loss","Sadikovic","Kabuki"
"cg09941876","chr11",126137977,-0.0504511,0.0504511,"Loss","Sadikovic","Kabuki"
"cg08382220","chr16",70834335,-0.0830236,0.0830236,"Loss","Sadikovic","Kabuki"
"cg07976603","chr19",10444506,-0.0651861,0.0651861,"Loss","Sadikovic","Kabuki"
"cg12350863","chr3",169758289,-0.0902341,0.0902341,"Loss","Sadikovic","Kabuki"
"cg00070052","chr9",116171972,-0.0800433,0.0800433,"Loss","Sadikovic","Kabuki"
"cg23035209","chr5",72795181,-0.0549055,0.0549055,"Loss","Sadikovic","Kabuki"
"cg16017144","chr17",77100082,0.12068999,0.12068999,"Gain","Sadikovic","Kabuki"
"cg24439448","chr18",60264554,-0.0850644,0.0850644,"Loss","Sadikovic","Kabuki"
"cg23404877","chr2",85553759,-0.05872109,0.05872109,"Loss","Sadikovic","Kabuki"
"cg16000360","chr1",228328880,-0.0697102,0.0697102,"Loss","Sadikovic","Kabuki"
"cg04097078","chr22",20784542,-0.0707055,0.0707055,"Loss","Sadikovic","Kabuki"
"cg00601836","chr6",152130332,0.0707506,0.0707506,"Gain","Sadikovic","Kabuki"
"cg21226442","chr12",27088580,-0.0831328,0.0831328,"Loss","Sadikovic","Kabuki"
"cg15451248","chr3",155570809,-0.0829861,0.0829861,"Loss","Sadikovic","Kabuki"
"cg20474675","chr11",16761292,-0.0576072,0.0576072,"Loss","Sadikovic","Kabuki"
"cg03033176","chr11",65343929,0.04941001,0.04941001,"Gain","Sadikovic","Kabuki"
"cg07457967","chr19",35069613,-0.0613915,0.0613915,"Loss","Sadikovic","Kabuki"
"cg04305808","chr7",99614209,-0.0862664,0.0862664,"Loss","Sadikovic","Kabuki"
"cg13912824","chr7",157346224,-0.0756601,0.0756601,"Loss","Sadikovic","Kabuki"
"cg10133500","chr3",50396252,-0.0688992,0.0688992,"Loss","Sadikovic","Kabuki"
"cg24526103","chr13",110433784,-0.0805467,0.0805467,"Loss","Sadikovic","Kabuki"
"cg03902201","chr10",13425201,0.05527726,0.05527726,"Gain","Sadikovic","Kabuki"
"cg19646165","chr17",7144367,-0.0828675,0.0828675,"Loss","Sadikovic","Kabuki"
"cg09573515","chr16",73517493,0.05416617,0.05416617,"Gain","Sadikovic","Kabuki"
