"Probes","Chr","Pos","deltaBeta","absDeltaBeta","DNAm_Effect","Author","Syndrome"
"cg07330481","chr17",37322330,0.164126536363636,0.164126536363636,"Gain","Weksberg","Kabuki"
"cg06368300","chr17",43065840,0.1256032,0.1256032,"Gain","Weksberg","Kabuki"
"cg18117780","chr17",66194407,-0.103008409090909,0.103008409090909,"Loss","Weksberg","Kabuki"
"cg14728380","chr17",80280330,-0.101115045454545,0.101115045454545,"Loss","Weksberg","Kabuki"
"cg03691722","chr18",7011268,-0.178640854545455,0.178640854545455,"Loss","Weksberg","Kabuki"
"cg14910288","chr18",10033220,-0.111523963636364,0.111523963636364,"Loss","Weksberg","Kabuki"
"cg26125366","chr18",31806577,-0.1546564,0.1546564,"Loss","Weksberg","Kabuki"
"cg06498272","chr19",1192499,0.122015254545455,0.122015254545455,"Gain","Weksberg","Kabuki"
"cg17393635","chr19",49843565,0.124320690909091,0.124320690909091,"Gain","Weksberg","Kabuki"
"cg20956548","chr19",56618060,0.104515245454545,0.104515245454545,"Gain","Weksberg","Kabuki"
"cg27413508","chr20",30225517,0.102796418181818,0.102796418181818,"Gain","Weksberg","Kabuki"
"cg14880348","chr20",61447174,-0.126359945454545,0.126359945454545,"Loss","Weksberg","Kabuki"
"cg20857253","chr21",33957290,-0.117090827272727,0.117090827272727,"Loss","Weksberg","Kabuki"
"cg04090347","chr21",44061597,0.109879218181818,0.109879218181818,"Gain","Weksberg","Kabuki"
"cg22091609","chr22",20780508,-0.143244709090909,0.143244709090909,"Loss","Weksberg","Kabuki"
"cg27619353","chr22",38071651,0.145229818181818,0.145229818181818,"Gain","Weksberg","Kabuki"
