"Probes","Chr","Pos"
"cg03687532","chr16",54228358
"cg21411366","chr4",24797176
"cg00524708","chr16",31159558
"cg09288885","chr16",86066714
"cg17453840","chr15",83317526
"cg14825735","chr6",1594066
"cg00270878","chr11",64334217
"cg06303238","chr20",50418959
"cg02123734","chr10",50649666
"cg06582782","chr12",5621261
"cg04539705","chr2",233384768
"cg11450541","chr13",24519920
"cg04942251","chr11",63687247
"cg14708990","chr11",76839217
"cg20084219","chr17",36997449
"cg09089451","chr7",149410923
"cg24024505","chr6",28829401
"cg23505823","chr12",123215524
"cg08772588","chr19",56000201
"cg21543589","chr20",30225685
"cg24524285","chr11",64405919
"cg02254407","chr11",73357159
"cg17978631","chr3",184491236
"cg26209990","chr7",127911258
"cg25457886","chr3",14339565
"cg10365886","chr6",32063874
"cg11923631","chr21",45705721
"cg03063309","chr4",24796919
"cg15674899","chr5",150618077
"cg07242540","chr1",12600348
"cg01856384","chr6",41376904
"cg27251412","chr21",45705740
"cg12133451","chr1",227746453
"cg05630111","chr1",150948030
"cg13105599","chr15",67356641
"cg22497095","chr6",28601375
"cg09117688","chr13",41496623
"cg02757970","chr2",25427350
"cg17261676","chr6",26016808
"cg05133205","chr6",32121249
"cg20625967","chr15",42328655
"cg20701556","chr1",95698924
"cg04159546","chr1",3605087
"cg20631820","chr13",95086158
"cg19760250","chr17",36997627
"cg03541791","chr6",28829396
"cg23280506","chr17",14201938
"cg06689045","chr3",120025420
"cg10854819","chr15",31515852
"cg09510752","chr5",134526173
"cg07521193","chr15",27819422
"cg06155303","chr1",29460817
"cg01101782","chr1",202778711
"cg01205267","chr13",47126300
"cg01235820","chr20",642782
"cg21235532","chr18",19476870
"cg26010218","chr4",78977223
"cg20462561","chr1",228890820
"cg08378788","chr17",1395864
"cg19049754","chr10",81966990
"cg06825512","chr18",10453969
"cg14759977","chr13",41496782
"cg00003625","chr17",48912543
"cg11985480","chr2",74729100
"cg08247921","chr4",103683115
"cg02497785","chr7",48494608
"cg12408990","chr5",179634671
"cg12799314","chr10",1405193
"cg18206867","chr2",62422351
"cg17918558","chr1",46945595
"cg27576576","chr7",156786077
"cg14433314","chr7",1233469
"cg14802355","chr4",103683140
"cg23076537","chr10",93643678
"cg04638150","chr11",62273418
"cg24853438","chr5",77139492
"cg16915863","chr12",54523294
"cg13391079","chr13",25212556
"cg05868531","chr2",232348602
"cg25337631","chr10",103500093
"cg13934406","chr6",32120878
"cg14372753","chr22",18064176
"cg20580913","chr6",1599288
"cg16216407","chr4",24797140
"cg09368716","chr1",1361655
"cg11931626","chr4",184679532
"cg23327896","chr11",73669290
"cg11905611","chr12",14720974
"cg13591848","chr10",102789894
"cg22861548","chr8",143859669
"cg05224659","chr2",43295595
"cg24070990","chr1",228634724
"cg17571919","chr6",28829328
"cg09510531","chr21",45705742
"cg03188580","chr6",28829378
"cg21252282","chr9",90439702
"cg11557492","chr19",56002240
"cg22952142","chr15",68549178
"cg26218577","chr15",69744466
"cg22109795","chr1",210468650
"cg21766667","chr17",48287888
"cg08216684","chr5",77144016
"cg09965419","chr6",30854186
"cg25460807","chr8",21908022
"cg10831246","chr17",18553663
"cg18192325","chr2",105854051
"cg01721149","chr1",156394727
"cg02247178","chr13",31506687
"cg03042692","chr13",23310188
"cg06025456","chr6",32120863
"cg09428340","chr6",163570371
"cg03102494","chr1",147801721
"cg06092502","chr1",42611687
"cg24010336","chr19",39467258
"cg20286956","chr1",39547918
"cg20592017","chr15",40364740
"cg19962075","chr18",48256050
"cg11669516","chr2",217501092
"cg00611789","chr5",78985432
"cg05226558","chr3",46617183
"cg21475076","chr1",1100493
"cg19978312","chr5",179634688
"cg19389372","chr19",36485356
"cg11617964","chr6",32118399
"cg02430039","chr17",47967818
"cg00083206","chr6",110721305
"cg21182196","chr14",95786801
"cg08123207","chr6",32118312
"cg09655403","chr5",78985495
"cg15584071","chr19",36484913
"cg25661792","chr3",194014530
"cg08979191","chr5",132113734
"cg14459158","chr9",96720562
"cg19579217","chr6",10720630
"cg25483741","chr8",143859895
"cg08877188","chr3",195943579
"cg04579398","chr19",36485360
"cg17378342","chr5",149546331
"cg07266144","chr5",131607372
"cg19328828","chr12",123215471
"cg01206378","chr1",95698827
"cg12914966","chr6",28830789
"cg10663765","chr3",194014592
"cg03466525","chr10",50650021
"cg18361418","chr6",28499676
"cg20909380","chr15",99987288
"cg27438152","chr15",31515761
"cg07429623","chr1",205326201
"cg10244666","chr11",32421808
"cg12974138","chr11",59325950
"cg08089567","chr21",45705994
"cg05819154","chr16",49902436
"cg17445765","chr7",64403162
"cg23180489","chr8",143859786
"cg12236088","chr2",105275812
"cg17330303","chr1",27189648
"cg12716639","chr11",119234198
"cg21277452","chr6",28829340
"cg08289130","chr16",3210357
"cg00399059","chr8",143859774
"cg06878548","chr8",514821
"cg17493885","chr5",176559558
"cg02452552","chr5",150618048
"cg02783887","chr2",660856
"cg17662083","chr19",36004632
"cg16306978","chr2",21266953
"cg00213295","chr17",32925561
"cg09013220","chr17",45944385
"cg25453677","chr17",1835735
"cg24808901","chr1",95698954
"cg07734975","chr11",9780844
"cg03679504","chr3",46621556
"cg01119278","chr6",110721349
"cg13392078","chr9",36036514
"cg23279355","chr5",78985592
"cg13176198","chr15",30336915
"cg00070899","chr6",34024479
"cg12407057","chr1",1366206
"cg07853425","chr5",134408820
"cg00107241","chr1",29461070
"cg14003022","chr4",3043019
"cg12231340","chr12",52685221
"cg03453449","chr12",95945120
"cg19227031","chr6",32118315
"cg19264571","chr18",10454085
"cg07168556","chr17",48912483
"cg19786602","chr17",7966326
"cg24024660","chr7",99195788
"cg03342928","chr19",56002446
"cg13058819","chr1",234350834
"cg01791034","chr15",42328501
"cg22455128","chr13",25212486
"cg25665606","chr22",50986051
"cg16484473","chr10",50649723
"cg20632887","chr1",160085581
"cg12127196","chr1",50489240
"cg18228590","chr5",77142469
"cg16087940","chr10",129947807
"cg21334513","chr6",30095248
"cg27179622","chr1",226127290
"cg12033622","chr20",30225573
"cg04388919","chr7",149119133
"cg10859192","chr12",54071672
"cg07752120","chr5",70746259
"cg16361867","chr11",120581355
"cg14906690","chr10",76573506
"cg02703145","chr9",93922525
"cg05745631","chr6",30095178
"cg01607625","chr6",32847830
"cg17910899","chr13",100218552
"cg25356715","chr12",1904796
"cg16677448","chr19",36004699
"cg03532263","chr14",103012356
"cg03993109","chr5",178594649
"cg12182937","chr6",33215649
"cg06687305","chr1",46088486
"cg00481725","chr15",98648111
"cg18700133","chr17",8013202
"cg03593471","chr8",10709415
"cg02723291","chr12",22777465
"cg24874173","chr1",145385677
"cg25642234","chr12",14721092
"cg08880849","chr17",40274728
"cg12529273","chr4",54458246
"cg09814029","chr1",39212920
"cg14625636","chr9",100000026
"cg11210878","chr11",62689065
"cg20245362","chr7",127911367
"cg04896168","chr1",86968543
"cg27268279","chr10",71672083
"cg15920791","chr8",61835708
"cg13266496","chr6",110720918
"cg27532360","chr17",42452994
"cg13641713","chr9",139023169
"cg13734833","chr11",68779817
"cg20889395","chr17",48912556
"cg07349815","chr3",123751269
"cg01395127","chr6",1601229
"cg21215576","chr8",124217760
"cg13411784","chr9",140473680
"cg13842639","chr9",38488083
"cg20481312","chr15",59157579
"cg21386414","chr1",26421349
"cg04459939","chr15",90291141
"cg07191900","chr22",17564994
"cg24002541","chr10",50649795
"cg12094552","chr21",46449961
"cg18959621","chr13",23310464
"cg14552982","chr9",133568226
"cg22670033","chr5",180646608
"cg25240254","chr19",56000944
"cg13202523","chr7",99588273
"cg04715503","chr16",3062795
"cg14947478","chr20",34025962
"cg01863042","chr13",23309892
"cg06489965","chr16",3062975
"cg09373015","chr6",41338895
"cg13702536","chr12",123215553
"cg00668150","chr17",2615720
"cg01510388","chr8",65711658
"cg03677069","chr10",88718317
"cg14481208","chr2",74669375
"cg11069430","chr12",95945082
"cg02179982","chr22",46365647
"cg10541110","chr17",39215894
"cg18137414","chr22",42313943
"cg18890544","chr1",242220538
"cg26776957","chr11",73357183
"cg05293490","chr14",95156546
"cg21687003","chr4",26806309
"cg19860353","chr3",194756349
"cg14172108","chr21",34405553
"cg24460126","chr1",179713828
"cg04821248","chr16",86337418
"cg06672093","chrX",103502294
"cg25360385","chr12",51786547
"cg06555959","chr8",61835620
"cg01293485","chr3",42847044
"cg06410849","chr16",66955988
"cg23193613","chr8",144267725
"cg05912299","chr13",100217962
"cg02547167","chrX",8751687
"cg01207473","chr6",159359940
"cg20595752","chr6",35458416
"cg22031964","chr11",62677251
"cg21109038","chr15",90543610
"cg07227033","chr7",12725802
"cg17674042","chr6",34482479
"cg01343363","chr16",58533808
"cg08798685","chr6",27730294
"cg00326131","chr2",74668477
"cg12733396","chr1",40783234
"cg12043145","chr14",97205952
"cg12229151","chr11",6340283
"cg09047034","chr2",38762714
"cg13640071","chrX",102585147
"cg13349472","chr2",25427451
"cg09221960","chr11",120434710
"cg26884773","chr1",235256863
"cg07298985","chr8",22133076
"cg01887374","chr2",129077404
"cg04717895","chr16",31541298
"cg18927077","chr14",103605358
"cg24579589","chr1",235256910
"cg09938479","chr1",178455912
"cg06184825","chr6",36772775
"cg08610426","chr19",49249123
"cg19127638","chr10",70322442
"cg07824824","chr18",12254976
"cg03577139","chr4",24796988
"cg13565129","chr6",28601419
"cg16503797","chr18",19476805
"cg08274637","chr13",51417923
"cg07554053","chr10",44885910
"cg15602677","chr2",1166067
"cg17112426","chr19",36004716
"cg02257791","chr14",22217085
"cg02904657","chr15",40571997
"cg09616559","chr2",25921151
"cg09978105","chr14",103227646
"cg13647973","chr19",56061337
"cg17052170","chr8",144099482
"cg18081818","chr7",23246105
"cg21148531","chr6",106774172
"cg02299497","chr14",69095570
"cg05593775","chr10",102778743
"cg13341668","chr3",50359909
"cg18947553","chr1",227747468
"cg25653641","chr6",28601312
"cg06420834","chr20",35169380
"cg11237406","chr17",4649333
"cg05568941","chr17",38517913
"cg17356252","chr21",45705686
"cg11322879","chr7",74378838
"cg15006681","chr22",38199759
"cg21793452","chr3",197182658
"cg01043616","chr12",50475035
"cg05413199","chr16",67430454
"cg23173402","chr1",227635558
"cg21123519","chr14",69095679
"cg17454857","chr20",34127524
"cg11070193","chr1",26527870
"cg17774102","chr6",28829640
"cg19512582","chr14",61083516
"cg04664126","chr6",28554262
"cg14190522","chr9",124344221
"cg07218647","chr2",121338498
"cg08461752","chr10",43522343
"cg17512474","chr5",149546335
"cg15175162","chr4",15657657
"cg05067427","chr16",54227914
"cg22717478","chr12",29542598
"cg27446137","chr4",77723198
"cg16447311","chr6",1604134
"cg05374238","chr1",57285466
"cg24496745","chr1",57285156
"cg09214243","chr15",29968124
"cg14920044","chr10",91296311
"cg01906695","chr12",48399493
"cg14742937","chr8",39172097
"cg18971434","chr6",28829398
"cg17762073","chr6",34024220
"cg10442355","chr8",61326412
"cg12428514","chr10",5407119
"cg22623319","chr10",112427911
"cg17136073","chr13",23310675
"cg22350048","chr1",22580632
"cg15701111","chr12",52685334
"cg03558837","chr2",239029375
"cg16667508","chr20",43936853
"cg02242734","chr22",18064224
"cg10408284","chr17",48912327
"cg04807108","chr15",78697933
"cg00079785","chr8",48172764
"cg04625615","chr15",41788368
"cg00610692","chr2",74668072
"cg23305129","chr7",154706386
"cg03609493","chr4",11370314
"cg00220225","chr3",50194470
"cg20955328","chr3",126062648
"cg03727500","chr2",232348334
"cg17295878","chr17",77924665
"cg11757040","chr14",73209188
"cg14478475","chr9",37905113
"cg21160372","chr21",22369310
"cg19782271","chr5",171616253
"cg06117341","chr16",3062653
"cg02754470","chr15",59157857
"cg15116481","chr19",51330265
"cg27537199","chr1",2885085
"cg05463589","chr16",88706426
"cg25432738","chr13",21009861
"cg18604823","chr19",56687364
"cg06106599","chr11",70048801
"cg17736526","chr7",1329387
"cg17886420","chr10",1796742
"cg14644378","chr9",34988588
"cg06911613","chr16",85846184
"cg20495964","chr6",36744880
"cg00689340","chr2",74668672
"cg22275125","chr11",62783573
"cg16624888","chr12",109711141
"cg19873297","chr5",171616388
"cg25001930","chr1",147801789
"cg25415695","chr5",134828036
"cg09083345","chr6",1603532
"cg00568384","chr2",173539262
"cg26644853","chr16",57406257
"cg15123755","chr1",40075810
"cg00054210","chr8",65711644
"cg13883721","chr9",132140795
"cg13207630","chr7",32358064
"cg24176731","chr11",73357164
"cg04566512","chr22",46457588
"cg05366561","chr20",30437731
"cg09336899","chr2",233766002
"cg02896835","chr1",92012615
"cg17681516","chr2",43295389
"cg09113483","chr1",61517807
"cg11343894","chr1",153599704
"cg15868235","chr3",12486114
"cg12414681","chr15",29968195
"cg13981310","chr9",139949063
"cg02920396","chr11",68782211
"cg18919720","chr17",79495335
"cg02002217","chr13",24520348
"cg04896115","chr7",47674905
"cg05415308","chr15",71406783
"cg20219329","chr8",1994478
"cg21572914","chr6",28829332
"cg27211198","chr2",121776456
"cg25838465","chr1",92012736
"cg06599908","chr19",54931632
"cg05254747","chr8",22223937
"cg00176638","chr1",202778443
"cg16034541","chr3",195490309
"cg02987388","chr1",46089045
"cg18675097","chr6",28227127
"cg13655803","chr17",48912764
"cg00913360","chr7",151594392
"cg17827650","chr7",156741514
"cg27243166","chr11",64479496
"cg23109344","chr8",496440
"cg25571880","chr2",233384489
"cg05485462","chr16",3062349
"cg21186576","chr17",79466077
"cg00772991","chr2",220716794
"cg23669081","chr17",46685353
"cg09240693","chr2",86038538
"cg02873315","chr10",131927449
"cg09820729","chr1",12039712
"cg07412254","chr2",121223534
"cg13583664","chr9",132016282
"cg09355528","chr10",71712830
"cg10504392","chr12",110044639
"cg11737757","chr1",2885168
"cg14563637","chr9",98931801
"cg22022881","chr2",105853494
"cg26587870","chr6",27730563
"cg24516106","chr2",72079413
"cg25556225","chr15",31515750
"cg08580014","chr10",118368634
"cg01337207","chr6",32063835
"cg00718036","chr4",108745325
"cg14972141","chr13",100217995
"cg12813394","chr14",69095057
"cg24795825","chr15",79164541
"cg09644356","chr2",121322010
"cg25318971","chr20",55837483
"cg05866021","chr1",57285278
"cg13073141","chr1",150948024
"cg25942596","chr15",82355828
"cg27399125","chr6",150378738
"cg05096492","chr6",28828946
"cg06813382","chr10",81967195
"cg03619568","chr5",77139388
"cg24690588","chr1",57285399
"cg01826254","chr16",87609929
"cg06188367","chr10",45359611
"cg13655082","chr9",125109046
"cg09133892","chr8",61325879
"cg05924882","chr15",40883034
"cg02623028","chr1",23003569
"cg00224807","chr2",238065650
"cg23638640","chr22",25160033
"cg04308185","chr17",38084377
"cg04236639","chr21",34402565
"cg24437523","chr1",160085568
"cg25937216","chr8",58172855
"cg18976044","chr13",24520049
"cg04206219","chr6",1602137
"cg13588403","chr14",73209128
"cg09203312","chr13",20805196
"cg00937681","chr4",77723304
"cg14736365","chr5",173947646
"cg07499899","chr1",21966310
"cg09187505","chr6",106434429
"cg07371589","chr1",151104367
"cg24998527","chr1",42611607
"cg26575633","chr1",156846336
"cg27508620","chr7",21209725
"cg10082647","chr12",107348855
"cg04972348","chr1",1100035
"cg13142134","chr6",42695332
"cg18524788","chr7",25890808
"cg22816091","chr1",42611670
"cg24911721","chr22",46508454
"cg05656990","chr13",23310635
"cg05215994","chr13",23310203
"cg19537511","chr17",8213813
"cg03335125","chr1",46088541
"cg25830307","chr10",77871644
"cg14453762","chr9",135058277
"cg24657518","chr6",1599401
"cg26624732","chr5",70746330
"cg15478483","chr6",111936529
"cg20310608","chr20",25128805
"cg06939851","chr1",226112534
"cg01234610","chr17",48912265
"cg22877452","chr1",61517876
"cg11934832","chr18",45683841
"cg27539527","chr7",156735656
"cg12487162","chr11",12845864
"cg03583746","chr6",1604013
"cg14677130","chr5",38445916
"cg23989336","chr17",79283915
"cg21181453","chr9",130700954
"cg18174881","chr14",45723353
"cg15720535","chr9",139582585
"cg06590074","chr20",691211
"cg21544713","chr8",61326407
"cg22619549","chr10",102090297
"cg03704673","chr17",4692287
"cg06633543","chr14",100151561
"cg23381646","chr7",44187310
"cg11027707","chr3",49967669
"cg24696183","chr11",2891360
"cg13870494","chr9",72658358
"cg17906007","chr22",35944645
"cg26787381","chr20",25128777
"cg02994923","chr2",121303745
"cg21587238","chr5",42953590
"cg09088406","chr15",27819306
"cg05897163","chr17",37782302
"cg20055237","chr2",240362425
"cg00934322","chr6",30854109
"cg01191259","chr15",29210460
"cg09285851","chr6",10099656
"cg02049180","chr1",156828202
"cg20368818","chr11",33800056
"cg15644756","chr12",69198743
"cg07290269","chr12",31479853
"cg05752349","chr1",175123194
"cg06203364","chr1",2137307
"cg14686645","chr17",42452426
"cg11883009","chr19",13198960
"cg10932486","chr5",61028265
"cg05991492","chr16",3988700
"cg11801727","chr1",228659093
"cg14035368","chr9",139258938
"cg06307176","chr5",131281290
"cg24729928","chr12",31480184
"cg22953865","chr14",99988654
"cg07355189","chr10",45923374
"cg02797195","chr21",43185674
"cg26314966","chr17",79466160
"cg02941741","chr2",233793921
"cg20593826","chr1",59280370
"cg04149015","chr16",31159854
"cg21049587","chrX",46938148
"cg19659741","chr8",39172099
"cg10730435","chr15",99987955
"cg16726706","chr12",116920139
"cg12883279","chr6",32120773
"cg27359374","chr6",158375774
"cg01971181","chr3",158518888
"cg01874730","chr16",57406425
"cg27520536","chr16",54228323
"cg04058281","chr5",980580
"cg09407967","chr6",41375649
"cg17542176","chrX",24390246
"cg23080060","chr5",61028303
"cg01803461","chr16",86604522
"cg06294700","chr5",64330959
"cg01515960","chr19",2494587
"cg16501323","chr21",45705618
"cg21117965","chr2",220325369
"cg22316093","chr21",45246308
"cg12208770","chr1",1361666
"cg21969792","chr4",1594995
"cg23458168","chr19",30864867
"cg00307818","chr1",55463592
"cg04196143","chr2",162096032
"cg10444806","chr17",38084428
"cg26939946","chr17",19314395
"cg13187827","chr6",31734192
"cg19566586","chr5",180622643
"cg23652484","chr1",211872653
"cg05771342","chr11",68782202
"cg16926213","chr1",1841314
"cg26874229","chr2",105853672
"cg17158913","chr1",10764886
"cg24280832","chr10",77871958
"cg17598339","chr2",170624727
"cg24361265","chr15",44068668
"cg15491131","chr13",24914324
"cg04478991","chr3",195943198
"cg02770672","chr6",164366085
"cg16151651","chr2",1609119
"cg19185846","chr2",71123233
"cg13451356","chr1",40598648
"cg06618740","chr1",1100126
"cg23058037","chr7",158824108
"cg13521002","chr8",22642322
"cg19021188","chr8",143859734
"cg20201270","chr2",45397874
"cg05189127","chr10",127059333
"cg25426302","chr6",32120826
"cg06640630","chr1",211652276
"cg04154027","chr5",78985588
"cg19299265","chr10",1975631
"cg06320582","chr16",87047010
"cg20167074","chr1",151967023
"cg21490444","chr5",171095097
"cg20893180","chr8",36957379
"cg08090164","chr8",143859709
"cg27152312","chr7",96221849
"cg20091636","chr8",61326482
"cg27283514","chr16",86768117
"cg21160842","chr11",32112091
"cg23389215","chr11",64375765
"cg14875327","chr3",197081654
"cg14971320","chr10",43699070
"cg04270401","chr10",102806871
"cg24698211","chr5",170877540
"cg14389669","chr9",136399386
"cg22972858","chr12",123215248
"cg19529709","chr22",25160075
"cg14711997","chr7",150652864
"cg13136220","chr8",48100957
"cg20638675","chr10",45374906
"cg04387835","chr17",4649076
"cg14381677","chr1",202778618
"cg15282281","chr10",88024557
"cg19041857","chr6",27730383
"cg04589210","chr2",86038589
"cg01015662","chr1",40598394
"cg05131488","chr7",14031822
"cg02845274","chr7",48494362
"cg13474370","chr15",65068885
"cg12082025","chr19",1064218
"cg07318204","chr4",145566441
"cg15234946","chr6",116886349
"cg17611235","chr11",1991188
"cg25862444","chr1",147737016
"cg22657492","chr5",137593488
"cg20395040","chr13",23310225
"cg02959988","chr1",40075124
"cg00802903","chr7",155592263
"cg05527459","chr1",92012148
"cg20035032","chr17",1820533
"cg04797061","chr16",31159920
"cg05150608","chr14",102990211
"cg00426822","chr1",39546536
"cg00049595","chr6",41650636
"cg10282491","chr16",3062368
"cg23243408","chr2",11049855
"cg01057945","chr12",50303785
"cg20660989","chr6",35150136
"cg10321156","chr11",63687223
"cg25701444","chr12",54521977
"cg00433296","chr8",22223852
"cg13818316","chr21",43185803
"cg22171758","chr12",54146133
"cg24176311","chr7",128696150
"cg15090036","chr17",48706075
"cg10022914","chr10",102494320
"cg03743678","chr16",47048004
"cg00424451","chr17",76338660
"cg01162093","chr10",134281626
"cg20768358","chr1",3574999
"cg04585209","chr11",6292311
"cg16205352","chr12",49688176
"cg14269301","chrX",19532166
"cg06136160","chr6",163570725
"cg23444264","chr10",72219751
"cg07264025","chr12",86658860
"cg06853455","chr12",113787113
"cg24346776","chr1",147737024
"cg01271726","chr6",26323586
"cg16060369","chr10",43698834
"cg24025550","chr15",59157523
"cg18877667","chr17",48051089
"cg16674433","chr17",19314408
"cg08579577","chrX",8751402
"cg12165772","chr17",48070354
"cg23038338","chr1",46996546
"cg24980657","chr2",150177277
"cg23683010","chr11",3254065
"cg13419925","chr3",158518910
"cg12080906","chr1",156646065
"cg03455316","chr15",62516405
"cg26633084","chr4",56660328
"cg15122439","chr2",200469026
"cg05565052","chr22",38669495
"cg23414861","chr6",74064064
"cg02992639","chr1",155098827
"cg03329019","chr1",221051117
"cg05190790","chr11",15672856
"cg05092353","chr13",113777013
"cg24624629","chr17",39203621
"cg12262698","chr22",45704988
"cg07786675","chr1",27189985
"cg14635466","chr8",101661245
"cg03954144","chr13",20751679
"cg23005885","chr15",90543450
"cg23678210","chr6",36391852
"cg16837557","chr11",126322576
"cg09517766","chr10",44894102
"cg13170076","chr2",382356
"cg11324650","chr3",194014745
"cg05090759","chr2",165812146
"cg08269485","chr11",1769382
"cg05310240","chr17",47979069
"cg03222009","chr2",129077232
"cg23290482","chr17",36997720
"cg11750580","chr1",46088336
"cg08801479","chr6",32165200
"cg08515989","chr16",29912904
"cg12634306","chr1",40098811
"cg26675395","chr16",31159623
"cg14218447","chr3",113418004
"cg00870514","chr17",29717946
"cg27516159","chr12",1904847
"cg19401111","chr3",195943345
"cg13001878","chr13",113777032
